number,igsn,traintext,iSampleMaterial
479074,ODP02GEIG,"ODP | Sample 162-986D-37R-1 (104-106 cm.) | Individual Sample | Janus sample_id: 803213 | ODP Leg 162 | platform: Ship, Joides Resolution",mat:rockorsediment
479077,ODP01S2Z5,"ODP | Sample 104-643A-2H-8 (5-6 cm.) | Individual Sample | 5cc and 1cc plugs;  Janus sample_id: 1304786 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
479112,NHB006FS2,NMNH 116193-74 (PET) | | Rock>Metamorphic | Cherry Creek Series  |  Cherry Gulch (?) | Amphibole schist with amphibole and mica,mat:rock
479121,NHB006HH4,NMNH 116284-11B (PET) | | Rock>Igneous | Volcano | MichoacÃ¡n-Guanajuato | 150 M Nw Of Segerstrom's Station 55 | Andesitic-rock,mat:rock
479306,NHB0072ZE,NMNH 117374-24 (PET) | | Rock>Igneous | Ocean | Indian Ocean | Southwest Indian Ridge | Glassy basalt | platform: Ship_ Agulhas,mat:rock
479325,ODP02GFAM,"ODP | Sample 162-986D-50R-3 (39-40 cm.) | Individual Sample | Janus sample_id: 800353 | ODP Leg 162 | platform: Ship, Joides Resolution",mat:rockorsediment
479365,NHB007A55,NMNH 117707-100 (PET) | | Rock>Sedimentary | geologicage: Cretaceous Tireo > Constanza | Central Dominican Republic | Limestone,mat:rock
479380,ODP02GFQP,"ODP | Sample 162-986D-59R-2 (25-27 cm.) | Individual Sample | Janus sample_id: 801944 | ODP Leg 162 | platform: Ship, Joides Resolution",mat:rockorsediment
479385,NHB000QZM,NMNH 122444-00 (MIN) | | Mineral>Hydroxylellestadite | Mine | Doshinkubo Orebody | Saitama_ Chichibu-Ming | Hydroxylellestadite,mat:mineral
479387,ODP02GFSZ,"ODP | Sample 162-987D-2H-2 (9-11 cm.) | Individual Sample | Janus sample_id: 804289 | ODP Leg 162 | platform: Ship, Joides Resolution",mat:rockorsediment
479388,NHB000TVC,NMNH 126229-02 (MIN) | | Mineral>Fluorapatite | Mine | Turners Island Apatite Mine  |  Lake Clear; Cormac (E Of) | Fluorapatite,mat:mineral
479397,ODP02GFUK,"ODP | Sample 162-987D-2H-5 (79-81 cm.) | Individual Sample | Janus sample_id: 804334 | ODP Leg 162 | platform: Ship, Joides Resolution",mat:rockorsediment
479443,ODP02GG4L,"ODP | Sample 162-987D-5H-5 (132-134 cm.) | Individual Sample | Janus sample_id: 804576 | ODP Leg 162 | platform: Ship, Joides Resolution",mat:rockorsediment
479463,NHB001RS5,NMNH 170469-00 (MIN) | | Mineral>Poitevinite | Mine | Avoca Claim | Bonaparte River_ Hat Creek; Lillooet District | Poitevinite,mat:mineral
479464,NHB001SA8,NMNH 171321-00 (MIN) | | Mineral>Fluorapophyllite | Mine | Nahodri Quarry  |  Nasik | Fluorapophyllite with stilbite and quartz,mat:mineral
479531,NHB004PCP,NMNH 90404 (PET) | | Rock>Ore | Mine | Mercer Mine  |  Locality Key: Globe | Silver ore with argentiferous malachite and quartz,mat:rock
479570,ODP01PGA4,"ODP | SubSection 208-1265A-22H-4-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 208 | platform: Ship, Joides Resolution",mat:rockorsediment
479638,PRR006017,PRR | PRR-06017 | | Rock>Igneous | Era: Mesozoic;  | Antarctic Peninsula | Oriented hand sample for paleomagnetism | mafic dike,mat:rock
479881,ODP02GIFF,"ODP | Sample 162-987E-21R-3 (39-41 cm.) | Individual Sample | Janus sample_id: 805833 | ODP Leg 162 | platform: Ship, Joides Resolution",mat:rockorsediment
479900,ODP01PGY0,"ODP | SubSection 208-1266A-17H-5-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 208 | platform: Ship, Joides Resolution",mat:rockorsediment
479908,PRR044405,PRR-44405 | | 1006 | g | Rock>Igneous | Very coarse tuff [black_ gray_ coarse grained] | Staten Island | Puerto San Juan | Tuff,mat:rock
479959,SLB000090,SLB | MMS 147-156 cm | Terrestrial Section | Marietta Middle School | depth 147-156 cm | Ridgetop | Atm. Deposition of Mn Study,mat:soil
479975,ODP02GJ1F,"ODP | Sample 162-987E-38R-5 (61-65 cm.) | Individual Sample | Janus sample_id: 840985 | ODP Leg 162 | platform: Ship, Joides Resolution",mat:rockorsediment
480134,BSU0005C6,BSU | GA2676578 | Core | Rock>Sedimentary | depth 54.86-54.87 meters | GSQ Hughenden 6 | Galilee | GSQ Hughenden 6 | sandstone,mat:rock
480239,ODP01PHAX,"ODP | Section 208-1267A-2H-2 | Core Section | ODP Leg 208 | platform: Ship, Joides Resolution",mat:rockorsediment
480270,ODP02GK8F,"ODP | Sample 164-991A-1H-4 (69-71 cm.) | Individual Sample | Janus sample_id: 1116388 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
480298,CNRS0000004393,CNR | SMS_DR35_1_01 | Dredge | Rock>Sedimentary | tube | mid-ocean ridge | South West Indian Ridge | sediment | SMOOTHSEAFLOOR,mat:sediment
480412,ODP02GKO1,"ODP | Sample 164-991A-3H-2 (4-5 cm.) | Individual Sample | Janus sample_id: 1110444 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
480439,DSR000K1U,DSR | MGL1208-17PC_54cm | Core Piece | collection: Coring>PistonCorer. Discrete sample from a  Core | 10 | cc | depth 54-55 cm,mat:sediment
480490,ODP02GL42,"ODP | Sample 164-991A-5H-1 (25-27 cm.) | Individual Sample | Janus sample_id: 230853 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
480546,ODP02GL7M,"ODP | Sample 164-991A-5H-3 (49-51 cm.) | Individual Sample | Janus sample_id: 1116517 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
480656,HRV000OR9,HRV | 87755 | | Mineral>Narsarsukite | Number of pieces: 1; Quality: reference; Crystal size: coarse;  | Narssarssuk Pegmatite,mat:mineral
480681,IEACM00LP,IEACM | HIGH-06 | | plant.  | c 1mile N of Crask on A 836 | Plant | The distribution and uptake of isotopes into the biosphere,mat:organicmaterial
480683,IEACM01TF,IEACM | Wey08 SK3705 | | pM1.  | Ridgeway Hill_ Olympic Highway | Tooth | Sr-Pb-O isotope analysis of archaeological material.,mat:biogenicnonorganicmaterial
480688,IEACM01TL,IEACM | Wey08 SK3749 | | pM1.  | Ridgeway Hill_ Olympic Highway | Tooth | Sr-Pb-O isotope analysis of archaeological material.,mat:biogenicnonorganicmaterial
480706,IEAVO04LC,IEAVO | FC-155A-4 | | North dacite base (pink) | volcano | VNum: 311350 | Outside E. wall_ Just NW of E. wall | Fisher | Other,mat:sediment
480708,IEAVO04LE,IEAVO | FC-155A-6 | | North dacite base (pink) | volcano | VNum: 311350 | Outside E. wall_ Just NW of E. wall | Fisher | Other,mat:sediment
480830,IEGZNP128,IEGZN | POS512-19ROV11-07 | | Rock>Igneous>Volcanic>Mafic | volcano | Paphsanias | andesitic | POS512 | Petrology/Geochemistry,mat:rock
480850,ODP02GMAB,"ODP | Sample 164-993A-2X-3 (58-59 cm.) | Individual Sample | Janus sample_id: 1111384 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
480971,IERVTL1UP,IERVT | 1207 | | clear water_ fast flow | depth 198.2-208.2 cm | floodplain_ aquifer | SLAC-SFA | 2019 inundation tracer tests,mat:liquidwater
480975,ODP02GMNX,"ODP | Sample 164-993A-5X-5 (145-150 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 208526 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
480993,ODP02GMOI,"ODP | Sample 164-993A-6X-1 (145-150 cm.) | Individual Sample | Janus sample_id: 1111151 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
481190,NHB005CXA,NHB | NMNH 109516 (PET) | | Mineral>Tridymite | Island | Mull Island  |  Mullach Glac An T'sneachda_ Loch Scridain | Tridymite,mat:mineral
481413,NHB006DI2,NHB | NMNH 116066-263 (PET) | | Rock>Igneous | Volcano | Tenorio  |  Lapilli (tephra) | Costa Rican Volcanic Explosion Project,mat:rockorsediment
481520,NHB006UYK,NHB | NMNH 117226-654 (PET) | | Rock>Igneous  |  75 mi ENE Redoudito (BM 10_880) in gulch drawing N into creek | Rhyolite tuff,mat:rock
481551,NHB006Y4Q,NHB | NMNH 117295-341 (PET) | | Warrick Creek_ 1 km SE of Warrick; SE 25_ T27N_ R16E | Xenolith with spinel dunite and syenite,mat:rock
481578,ODP01PVTI,ODP | SubSection 303-1302B-11H-3-1C (0-148 cm.) | Core Sub-Piece | Core | IODP / DSDP,mat:rockorsediment
481626,ODP01PW46,ODP | SubSection 303-1304B-5H-2-1C (0-150 cm.) | Core Sub-Piece | Core | IODP / DSDP,mat:rockorsediment
481680,NHB0081AM,NHB | NMNH 118289-47 (PET) | | Rock>Sedimentary | Median strip of I89; lithologic layering strikes 15*_ dips 65* W | Sandstone,mat:rock
481743,NHB0083AZ,NHB | NMNH 118321-315 (PET) | Core | Mineral>Enstatite | Bushveld Igneous Complex | Jagdlust - DDH 15 | Bronzite with chromite,mat:mineral
481817,NHB000YOI,NHB | NMNH 132426-00 (MIN) | | Mineral>Rhodochrosite | Mine | Madem Llokos Mine  |  Stratoni | Rhodochrosite with arsenopyrite,mat:mineral
481905,ODP02GRU4,"ODP | Sample 164-995A-66X-4 (135-150 cm.) | Individual Sample | Janus sample_id: 1119629 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
481920,ODP02GS16,"ODP | Sample 164-995A-71X-1 (40-45 cm.) | Individual Sample | olive gray 100g;  Janus sample_id: 203262 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
481987,NHB001RI5,NHB | NMNH 170108-00 (MIN) | | Mineral>Siderite | Mine | Foote Mineral Company Spodumene Mine  |  Kings Mtn. (Near) | Siderite,mat:mineral
482028,NHB003XLP,NHB | NMNH 51376 (PET) | Mineral>Other | Speiss with lead | Individual Sample  |  Locality Key: Leadville; Gage Hagaman And Co,mat:anthropogenicmetal
482109,NHB0045MJ,NHB | NMNH 71363 (PET) | | Rock>Igneous | Mining District | Washoe  |  Sutro Tunnel_ 6000 Ft. From Mouth | Hornblende andesite,mat:rock
482208,ODP01PX99,ODP | Section Half 303-1305B-26H-2-W | Core Section Half | IODP / DSDP,mat:rockorsediment
482367,NHB001XCM,NHB | NMNH B4591-01 (MIN) | Mineral>Other | Scleroclase with realgar | | Mine | Lengenbach Quarry  |  Imfeld (Near)_ Binnental,mat:mineral
482415,ODP02GV2X,"ODP | Sample 164-997A-14H-1 (27-29 cm.) | Individual Sample | Janus sample_id: 183641 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
482465,NHB002WWE,NHB | NMNH M9132-00 (MIN) | Mineral>Laueite | Laueite with strunzite | Individual Sample  |  Oberpfalz (2 Km Nw Of)_ Hagendorf,mat:mineral
482517,NHB003BBW,NHB | NMNH R4779-00 (MIN) | Mineral>Halloysite | Halloysite with pseudosteatite | Individual Sample  |  Wunsiedel_ Oberfranken,mat:mineral
482615,NHB0063GN,NMNH 114709 (PET) | | Rock>Igneous | Volcano | MichoacÃ¡n-Guanajuato  |  Locality Key: Paricutin Volcanic Field | Volcanic ash,mat:rockorsediment
482667,NHB0064ET,NMNH 114872-78 (PET) | | Rock>Igneous | Volcano | West Eifel Volcanic Field  |  West Germany_ West Germany | Ultramafic nodule,mat:rock
482667,ODP02GVZ3,"ODP | Sample 164-997A-22X-6 (125-140 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 207122 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
482695,NHB0068S0,NMNH 115294-11 (PET) | | Rock>Igneous | Ocean | Indian Ocean | Basalt glass | NOAA-Metallogenesis | platform: Ship_ Researcher,mat:rock
482717,NHB006E5S,NMNH 116092-97 (PET) | | Rock>Igneous | Volcano | Kilauea  |  Mauna Ulu. 1/4 Mi. E. Kealakomo_ 200 Ft. Mauka Of Ocean | Basalt,mat:rock
482841,NHB006ZR9,NMNH 117329-105 (PET) | | Mt. Shadwell_ E and W quarries; 1.5 km N of Mortlake | Xenolith with spinel dunite and clinopyroxene,mat:rock
483043,NHB003PMN,NMNH 15674 (PET) | | Rock>Ore | Mine | Charter Oak Mine  |  Locality Key: White Pine | Silver ore with copper ore and lead ore,mat:rock
483051,ODP02GX8T,"ODP | Sample 164-997A-46X-3 (35-36 cm.) | Individual Sample | Janus sample_id: 1124144 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
483083,NHB001PMH,NMNH 167672-00 (MIN) | | Mineral>Laumontite | Mine | Goose Creek Quarry  |  Leesburg | Laumontite with sphalerite and prehnite,mat:mineral
483086,NHB001PQY,NMNH 167833-00 (MIN) | | Mineral>Babingtonite | Mine | Goose Creek Quarry  |  Leesburg | Babingtonite with quartz and chlorite,mat:mineral
483263,NHB002MC8,NMNH G7664-00 (MIN) | | Mineral>Vesuvianite | Mine | Collins And Smith Jade Mine | Happy Camp | Vesuvianite (var. californite),mat:mineral
483360,ODP02GYBL,"ODP | Sample 164-995B-15X-1 (130-150 cm.) | Individual Sample | Janus sample_id: 15800 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
483455,PRR015172,PRR-15172 | | Rock>Igneous | Metavolcanic rock with coarsely recrystallized groundmass. | Metavolcanic Mountain | Metavolcanic,mat:rock
483482,PRR023290,PRR-23290 | | Rock>Igneous | Dike_ dark gray-green_ few phenocrysts.  Somewhat shattered. 1 meter | Lubbock Ridge | Mafic Dike,mat:rock
483488,ODP02GYOS,"ODP | Sample 164-997B-11X-4 (60-62 cm.) | Individual Sample | Janus sample_id: 1124543 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
483685,IEBEG1B5D,R59671 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well_ API number 420390420300. | depth 6803-13100 Ft.,mat:rock
483705,SLB0000FA,SLB | GH_Path 40-50 cm <150 um | Terrestrial Section | Grindstone Hollow Path | depth 40-50 cm | Non-ridgetop | 417 Class 2012,mat:soil
483706,ODP02GZ14,"ODP | Sample 164-997B-19X-2 (125-150 cm.) | Individual Sample | Janus sample_id: 17336 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
483844,ODP02GZ5Z,"ODP | Sample 164-997B-22X-4 (51-53 cm.) | Individual Sample | Janus sample_id: 1124872 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
483906,ARF0000H6,ARF | DF79-015 PC _Archive | Core Half Round | 359 | cm | d`Urville Sea_ South Pacific | DF79 | platform: Ship_ USCGC Glacier,mat:sediment
483928,ARF0000AL,ARF | NBP05-05 067 JPC_Archive | Core Half Round | 1345 | cm | Patagonia | NBP05-05 | platform: Ship_ R/V Nathaniel B. Palmer,mat:sediment
484045,DSR0006MQ,DSR | LIS1303021GS | Grab | med sand_ mm-scale whole clam shell_ gastropod_ shell hash | LIS1303 | platform: Ship_ RV Seawolf,mat:biogenicnonorganicmaterial
484272,IEACM01TQ,IEACM | Wey08 SK3694 | | M2.  | Ridgeway Hill_ Olympic Highway | Tooth | Sr-Pb-O isotope analysis of archaeological material.,mat:biogenicnonorganicmaterial
484280,IEACM01TO,IEACM | Wey08 SK3759 | | M2.  | Ridgeway Hill_ Olympic Highway | Tooth | Sr-Pb-O isotope analysis of archaeological material.,mat:biogenicnonorganicmaterial
484598,IELCZ050B,IELCZ | TABOX-11-50 0-20 | Terrestrial Section | 260.7 | g | depth 0-20 cm | Slope | Luquillo Critical Zone Observatory (CZO),mat:soil
484609,ODP02H23W,"ODP | Sample 164-994C-8H-2 (104-119 cm.) | Individual Sample | Janus sample_id: 1113181 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
484610,IELCZ044D,IELCZ | TABOX-12-44 50-80 | Terrestrial Section | 296 | g | depth 50-80 cm | Slope | Luquillo Critical Zone Observatory (CZO),mat:soil
484639,ODP01QDH2,"ODP | Sample 11-105*-25R-3 (96-97 cm.) | Individual Sample | Janus sample_id: 30000333 | DSDP Leg 11 | platform: Ship, Glomar Challenger",mat:rockorsediment
484657,IERVTL1J6,IERVT | 779 | | 40mL water 20mL atmosphere | depth 120-120 cm | floodplain_ aquifer | SLAC-SFA | 2019 inundation tracer tests,mat:gas
484661,IERVTL1L6,IERVT | 864 | | Spilled most of sample | depth 149.9-154.9 cm | floodplain_ aquifer | SLAC-SFA | 2018 inundation tracer tests,mat:liquidwater
484675,ODP01QDNZ,"ODP | Sample 13-123*-6R-2 (109-112 cm.) | Individual Sample | Janus sample_id: 20001830 | DSDP Leg 13 | platform: Ship, Glomar Challenger",mat:rockorsediment
484701,ODP02H2LO,"ODP | Sample 164-994C-11H-1 (80-82 cm.) | Individual Sample | Janus sample_id: 1113638 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
484723,KAB0000RG,KAB | C488G | Specimen | | 3 Unlabelled Hand Samples | New York City Water Tunnel # 3 | New York City Water Tunnel # 3 Survey,mat:rock
484905,NHB005VOA,NHB | NMNH 113552-1135 (PET) | | Mining District | Marquette Iron Range  |  Locality Key: Marquette Iron Range | Unidentified,mat:material
484999,ODP01QEM8,"ODP | Sample 17-164*-14R-2 (0-0 cm.) | Individual Sample | Janus sample_id: 1520260 | DSDP Leg 17 | platform: Ship, Glomar Challenger",mat:rockorsediment
485066,ODP01QEOY,"ODP | Sample 17-166*-29R-3 (48-50 cm.) | Individual Sample | Janus sample_id: 1638618 | DSDP Leg 17 | platform: Ship, Glomar Challenger",mat:rockorsediment
485156,ODP02H4G3,"ODP | Sample 164-994C-31X-6 (67-72 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 206302 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:rockorsediment
485182,NHB006U6K,NHB | NMNH 117217-47 (PET) | | Rock>Igneous  |  E1/2_ Sec.30_ T24n_ R14e; 2.5 Mi Sw Of Cantiguy School | Syenite with biotite,mat:rock
485214,ODP02H4SS,"ODP | Sample 164-994C-41X-3 (122-130 cm.) | Individual Sample | from resiude;  Janus sample_id: 163022 | ODP Leg 164 | platform: Ship, Joides Resolution",mat:otheranthropogenicmaterial
485314,NHB007N9W,NHB | NMNH 118183-152 (PET) | | Rock>Igneous | Gorgona Volcanic Suite  |  N of Punta Trinidad - E coast of island | Komatiite,mat:rock
485406,ODP01QFJS,"ODP | Sample 19-192A-1R-3 (120-122 cm.) | Individual Sample | Janus sample_id: 1602831 | DSDP Leg 19 | platform: Ship, Glomar Challenger",mat:rockorsediment
485462,NHB000Y0J,NHB | NMNH 131564-00 (MIN) | | Mineral>Hematite | Island | Ascension Island  |  Ascension Island_ Ascension Island | Hematite,mat:mineral
485487,ODP01QFP3,"ODP | Sample 22-211*-14R-1 (26-28 cm.) | Individual Sample | clay-rich nanno ooze;  Janus sample_id: 1579447 | DSDP Leg 22 | platform: Ship, Glomar Challenger",mat:sediment
485537,ODP01QFSV,"ODP | Sample 22-213*-15R-4 (3-5 cm.) | Individual Sample | Janus sample_id: 1396462 | DSDP Leg 22 | platform: Ship, Glomar Challenger",mat:rockorsediment
485586,NHB001R3S,NHB | NMNH 169591-00 (MIN) | | Mineral>Willhendersonite | Mine | San Venanzo Quarry  |  Perugia_ Marsciano | Willhendersonite,mat:mineral
485701,NHB004BBD,NHB | NMNH 75688-192 (PET) | Rock>Metamorphic | Amphibolite | | Hubbard Glacier  |  Harriman Alaska Expedition_ Specimen List,mat:rock
485840,ODP02HAH8,"ODP | Sample 165-998A-44X-3 (31-32 cm.) | Individual Sample | Janus sample_id: 1130005 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
485955,NHB002K7Y,NHB | NMNH G5110-00 (MIN) | Mineral>Quartz | Quartz (var. amethyst) | Individual Sample  |  Pittsylvania Co._ Danville (Near),mat:mineral
486005,ODP01QH5R,"ODP | Sample 22-218*-25R-3 (0-4 cm.) | Individual Sample | Janus sample_id: 1437973 | DSDP Leg 22 | platform: Ship, Glomar Challenger",mat:rockorsediment
486058,ODP01QH98,"ODP | Sample 23-220*-8R-5 (148-150 cm.) | Individual Sample | Janus sample_id: 1411333 | DSDP Leg 23 | platform: Ship, Glomar Challenger",mat:rockorsediment
486115,ODP01QHBC,"ODP | Sample 23-222*-25R-4 (28-29 cm.) | Individual Sample | Janus sample_id: 1452895 | DSDP Leg 23 | platform: Ship, Glomar Challenger",mat:rockorsediment
486154,NHB00555Q,NMNH 102566-5 (PET) | | Rock>Metamorphic | Mine | Bog Mine  |  Locality Key: Cottonwood-American Fork | Quartzite with galena,mat:rock
486218,NHB005OXW,NMNH 112433-46 (PET) | | Mineral>Chalcopyrite | Mine | Midcontinent Mine  |  Near Picher_ Oklahoma | Chalcopyrite with galena,mat:mineral
486412,NHB006P63,NMNH 116861-547 (PET) | | Rock>Igneous | Columbia Plateau - Columbia River Basalt  |  Locality Key: Columbia Plateau | Basalt,mat:rock
486455,NHB006TTM,NMNH 117213-27 (PET) | | Volcano | Mesa Cacaxta | 40 km NW of Mazatlan on the east shore of the Gulf of California | Xenolith,mat:rock
486462,ODP01QIPG,"ODP | Sample 24-232*-17R-1 (30-40 cm.) | Individual Sample | Janus sample_id: 1616751 | DSDP Leg 24 | platform: Ship, Glomar Challenger",mat:rockorsediment
486577,NHB0072Z4,NMNH 117374-14 (PET) | | Rock>Igneous | Ocean | Atlantic Ocean | Mid-Atlantic Ridge | Glassy basalt | platform: Ship_ Agulhas,mat:rock
486618,ODP02HFK3,"ODP | Sample 165-999A-21H-3 (45-47 cm.) | Individual Sample | Janus sample_id: 1184704 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
486729,NHB003SQW,NMNH 24144 (PET) | | Rock>Igneous | Mining District | Washoe  |  Sutro Tunnel N. Branch 50 Ft. N. Of C&c Connection | Diabase,mat:rock
486746,NHB004AVD,NMNH 75431 (PET) | | Other>Igneous | Volcano | SoufriÃ¨re St. Vincent | Locality Key: Soufriere Of St Vincent | Volcanic dust,mat:particulate
486796,ODP01QKCA,"ODP | Sample 31-296*-2R-4 (70-71 cm.) | Individual Sample | Janus sample_id: 1634053 | DSDP Leg 31 | platform: Ship, Glomar Challenger",mat:rockorsediment
486972,PRR046491,PRR | PRR-46491 | Dredge | 91 | g | Rock>Igneous | [medium green intermediate igneous rock] | Adare Basin | Intermediate rock,mat:rock
487055,PRR012643,PRR-12643 | | Rock>Sedimentary | Siltstone_ nearly white_ block fracture_ chalky_ noncalcareous. | Roaring Cliffs | Siltstone,mat:rock
487211,ODP01QM7K,"ODP | Sample 38-338*-28R-2 (106-108 cm.) | Individual Sample | Janus sample_id: 30005217 | DSDP Leg 38 | platform: Ship, Glomar Challenger",mat:rockorsediment
487328,ODP01QNC7,"ODP | Sample 40-363*-4R-2 (78-80 cm.) | Individual Sample | material shifted;  Janus sample_id: 10009263 | DSDP Leg 40 | platform: Ship, Glomar Challenger",mat:rockorsediment
487457,ODP01SBMI,"ODP | Sample 104-642B-2H-5 (145-150 cm.) | Individual Sample | WHOLE ROUND, HEAD SPACE GAS ANALYSIS ON SHIP;  Janus sample_id: 498286 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
487595,SSH0002NG,SSH | #37BW | Powder | | <2[mm] | Watershed | Shale Hills Catchment | Susquehanna Shale Hills Critical Zone Observatory (CZO),mat:soil
487597,ODP02HJCI,"ODP | Sample 165-1000A-5H-7 (15-17 cm.) | Individual Sample | Janus sample_id: 1185943 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
487601,ODP01QO4N,"ODP | Sample 41-366*-44R-4 (70-71 cm.) | Individual Sample | Janus sample_id: 10008973 | DSDP Leg 41 | platform: Ship, Glomar Challenger",mat:rockorsediment
487637,ODP02HJG4,"ODP | Sample 165-1000A-6H-6 (50-51 cm.) | Individual Sample | Janus sample_id: 1150008 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
487646,UGS0001BR,UGS | Bybell-001572 | | geologicage: Eocene Yazoo | tributary on trail to creek | Little Stave Creek tributary | Macrofossils,mat:rock
487675,ODP01QO8Q,"ODP | Sample 41-366*-44R-3 (60-60 cm.) | Individual Sample | Janus sample_id: 20005443 | DSDP Leg 41 | platform: Ship, Glomar Challenger",mat:rockorsediment
487677,UGS0002GX,UGS | Bybell-002938 | | Stumptown at E end of Rte 648 about 0.4 mi E of Rte 13 and just west of RR | Stumptown | Macrofossils,mat:rock
487715,IEPFS00FB,USGS-NRP 164.927 cm | Core Half Round | Age=3625 YBP_ Error=20 Years | depth 164.927-164.927 cm | Slope Mountain | permafrost,mat:soil
487750,ODP01SBW0,"ODP | Sample 104-642B-4H-5 (50-52 cm.) | Individual Sample | Janus sample_id: 509962 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
487794,ODP01SBXD,"ODP | Sample 104-642B-5H-1 (50-52 cm.) | Individual Sample | Janus sample_id: 494073 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
487882,ARF0009IT,ARF | DF79 052 PC 0202-0204 cm | Core Sub-Piece | 10 | cc | depth 202-204 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
487982,ARF000GV6,ARF | NBP96-01 027 JTC _Archive | Core Half Round | 131 | cm | Ross Sea | NBP96-01 | platform: Ship_ R/V Nathaniel B. Palmer,mat:sediment
488005,ODP02HLS4,"ODP | Sample 165-1000A-23H-1 (5-7 cm.) | Individual Sample | Janus sample_id: 1182654 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
488030,DSR000BYF,DSR | AT26-19-25GC_0cm | Core Piece | collection: Coring>GravityCorer. Discreet sample from a  Core | 10 | cc | depth 0-1 cm,mat:sediment
488145,ODP02HN4V,"ODP | Sample 165-1000A-36X-4 (5-7 cm.) | Individual Sample | Janus sample_id: 1187883 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
488177,ODP01QQ4Q,"ODP | Sample 42-380A-27R-5 (99-102 cm.) | Individual Sample | Janus sample_id: 30007236 | DSDP Leg 42 | platform: Ship, Glomar Challenger",mat:rockorsediment
488227,DSR000N6V,DSR | VM35-004PC_244cm | Core Piece | 10 | cc | depth 244-246 cm | Paleoceanography of the tropical Indian Ocean since MIS 5,mat:sediment
488237,DSR000N7G,DSR | VM35-004PC_284cm | Core Piece | 10 | cc | depth 284-286 cm | Paleoceanography of the tropical Indian Ocean since MIS 5,mat:sediment
488257,ODP01QQRQ,"ODP | Sample 43-386*-38R-7 (10-11 cm.) | Individual Sample | slightly deformed (IR);  Janus sample_id: 30006797 | DSDP Leg 43 | platform: Ship, Glomar Challenger",mat:rockorsediment
488310,ODP02HO4L,"ODP | Sample 165-1000A-51X-8 (36-38 cm.) | Individual Sample | Janus sample_id: 1184051 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
488457,DSR000FSG,EW93-03-37PC_272cm | Core Piece | collection: Coring>GravityCorer. Discrete sample from a  Core | 10 | cc | depth 272-273 cm,mat:sediment
488561,ODP02HPPG,"ODP | Sample 165-1001A-48R-3 (62-64 cm.) | Individual Sample | Janus sample_id: 1158218 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
488593,ODP02HPWC,"ODP | Sample 165-1001A-53R-4 (50-53 cm.) | Individual Sample | Janus sample_id: 11142 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
488600,ODP02HPWZ,"ODP | Sample 165-1001A-54R-1 (44-47 cm.) | Individual Sample | Residues to GRA; Co-listed GRA/XRF;  Janus sample_id: 1158554 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:otheranthropogenicmaterial
