,igsn,traintext,iSampleMaterial
18506,NHB0043QJ,NHB | NMNH 67061 (PET) | Individual Sample  |  Unidentified,4
19807,ODP032TF2,"ODP | Sample 210-1276A-29R-1 (19-24 cm.) | Individual Sample | Janus sample_id: 1553700 | ODP Leg 210 | platform: Ship, Joides Resolution",11
17831,ODP02UUTY,"ODP | Sample 189-1172A-24H-4 (0-5 cm.) | Individual Sample | Janus sample_id: 1379777 | ODP Leg 189 | platform: Ship, Joides Resolution",11
15791,ODP02WKFR,"ODP | Sample 195-1202D-3H-6 (105-107 cm.) | Individual Sample | Janus sample_id: 1619131 | ODP Leg 195 | platform: Ship, Joides Resolution",11
15564,ODP02VDI2,"ODP | Sample 190-1173A-9H-4 (134-135 cm.) | Individual Sample | Janus sample_id: 1386173 | ODP Leg 190 | platform: Ship, Joides Resolution",11
578,MGD0008OF,MGD | D-9-1 | Dredge | BGS:Igneous:mafic_ volcanic/subvolcanic:Pillow | Location = ridge crest. Sample size = 6000g. Description = Fresh_ with olivine (minor) and plag phenocrysts - fresh glass | MidOceanRidge | CentralIndianRidge | KNOX11RR | platform: Ship_ Roger Revelle | launch: Not Applicable_ 6 | Not Applicable,10
16074,HRV000QP9,HRV | 90551 | | Mineral>Pyrite | Mineral Group: Pyrite;    | El Potosi Mine,5
334,NHB003U7A,NHB | NMNH 33428 (PET) | | Rock>Ore | The bounding box given here was based on a map of the Fortieth Parallel Survey from Kathryn McKay's web page about geologic surveys of the west (http://faculty.weber.edu/kmackay/four_great_surveys_of_the_west.htm). Coordinates are approximate and delineate a very large area. | Ore | 40th Parallel Survey,10
11854,ODP01XAQJ,"ODP | Sample 116-719A-36X-1 (90-95 cm.) | Individual Sample | Janus sample_id: 220903 | ODP Leg 116 | platform: Ship, Joides Resolution",11
5719,IE18O000A,IE18O | RAM1302 | Other | collection: Chain saw. Collected from dead tree | Field Program: PaP12 | agenumeric: 2360-2410 years | Plateau | Tamarugal | tree core,7
10217,ODP01TJH1,"ODP | Sample 108-662A-17H-5 (12-14 cm.) | Individual Sample | Janus sample_id: 1267557 | ODP Leg 108 | platform: Ship, Joides Resolution",11
4585,DSR0007LJ,DSR | TT057-6-4 | Core Piece | collection: Coring>PistonCorer. Discreet sample from a  Core | 5 | cc | depth 498-499 cm | Past changes in thermohaline circulation during the Pleistocene.,12
6490,IE223002Y,IE223 | KN223_S03_MC_T02_12 | Core Section | Sediment>Sedimentary>Carbonate | sediment | KN223 | platform: Ship_ R/V Knorr | dissolved oxygen measurement,12
14728,UGS0005HM,UGS | Bybell-006845 | | geologicage: Eocene Manasquan | Clayton core | Macrofossils,10
10540,RWM000088,RWM | 138-850B-20X-4_ 102-104 | | Ocean | Pacific Ocean | Carbonate | ODP0138 | platform: Ship_ Joides Resolution,12
18790,IEMTG011B,IEMTG | 89AJB10 | | Granodiorite | Apatite Fission Track,10
676,IEPRI0618,IEPRI | Varved sediment | Specimen | | Rock>Sedimentary>GlacialAndOrPaleosol | Block marked D. Varves |  part of the Victor E. Schmidt Collection at PRI | Creek bank | PRI Station No. 6918; Sixmile Creek | Victor E. Schmidt referred to this locality as 'high bank' | Varved sediment | Glacial history,10
18555,ODP02ZECY,"ODP | Sample 202-1237B-11H-3 (145-150 cm.) | Individual Sample | Janus sample_id: 1483815 | ODP Leg 202 | platform: Ship, Joides Resolution",11
5864,ODP01L4X8,"ODP | Section 177-1090D-14H-3 | Core Section | ODP Leg 177 | platform: Ship, Joides Resolution",11
13172,NHB003Y4A,NHB | NMNH 52941-83 (PET) | Unidentified | Individual Sample  |  Sw.25sw.25 Sec 7_ T.35_ R6w,4
782,IEDAI0CM0,IEDAI | POZ-8-2b_040-050 | Individual Sample | collection: coring. PÃ¼rckhauer | B8-2b; coordinates and collection date not specified | depth 40-50 cm | Potzlow | Potzlow 2011/2012 | xrf,13
6729,NEON05WW0,NEO | [ 875721 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Bulk unsorted invertebrate bycatch collected in a pitfall trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol Carabids and vertebrates have been removed. Remaining samples are archived in 95% ethanol and pooled across traps from the same plot and sampling dates. | Bulk Terrestrial Invertebrates,7
15691,IEFRA06EM,IEFRA | CAD-KS21-Tr04A | Core Section Half | sea | Golfe de Cadix | CADISAR 1,12
18902,NHB005R2P,NHB | NMNH 112666-48 (PET) | | Rock>Igneous  |  Granite,10
1796,IEMRS006L,IEMRS | ACR1-Atop-B | Specimen | | Biology>Macrobiology | Best preserved of roadcut | Vertical Error (1Ïƒ) = 0.06 | agenumeric: 4.8-5.28 Ma | Outcrop | Fossil shoreline | Roadcut with different units | Roadcut | Ostrea sp.  | Sr-dating,1
13618,ODP02RBAF,"ODP | Sample 182-1134A-1H-2 (71-73 cm.) | Individual Sample | Janus sample_id: 164693 | ODP Leg 182 | platform: Ship, Joides Resolution",11
6501,ODP01ASPT,"ODP | Section Half 115-710A-16X-2-W | Core Section Half | ODP Leg 115 | platform: Ship, Joides Resolution",11
11121,ODP01XVUE,"ODP | Sample 117-721B-22X-6 (28-30 cm.) | Individual Sample | VELOCITY SAMPLE, RETURNED TO CORE;  Janus sample_id: 234321 | ODP Leg 117 | platform: Ship, Joides Resolution",11
7092,NHB0081ZW,NHB | NMNH 118301-98 (PET) | | Rock>Metamorphic | Roadcut on Middle Road 1.25 miles north of its junction with Bog Road | Biotite-garnet schist,10
6434,IE22300HE,IE223 | KN223_S11_LC2_S09_10 | Core Section | Sediment>Sedimentary>Carbonate | sediment | KN223 | platform: Ship_ R/V Knorr | dissolved oxygen measurement,12
8852,IEBEG0V13,IEBEG | V04517 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-700 Ft. | Oil or gas exploration,6
15624,NHB003UWA,NMNH 35635 (PET) | | Rock>Igneous | Locality Key: Grissleham_ Upland | Diorite,10
16121,ODP02XSOZ,"ODP | Sample 199-1218B-10H-2 (35-36 cm.) | Individual Sample | Janus sample_id: 1512618 | ODP Leg 199 | platform: Ship, Joides Resolution",11
3166,NEON02W1Z,NEO | NEON.BET.D07.007276 [ 761292 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Pterostichus lachrymosus (Newman_ 1838),7
4061,NEON01LEB,NEO | KONZ_004-M-4.5-1-20180423-GA4 [ 254314 ] | Biology>Macrobiology | Specimen | | collection: Manual. PreservedSpecimen | Interchangeable soil subsample 4 for microbial sequencing analyses,13
2297,NEON0130Z,NEO | SCBI.20190529.R3651.B [ 460219 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Blood sample collected from a small mammal for pathogen analyses | Peromyscus leucopus (Rafinesque_ 1818),7
10052,HRV000VF8,HRV | 94984 | | Mineral>Clausthalite | Number of pieces: 1; Quality: very high; Crystal size: fine;   | Pacajake Mine,5
15987,NHB005YJH,NMNH 113639-53 (PET) | | Rock>Igneous  |  Isle Royale National Park | Basalt,10
5887,ODP01L6V7,"ODP | Section Half 177-1090E-19H-8-A | Core Section Half | ODP Leg 177 | platform: Ship, Joides Resolution",11
2836,NEON0363I,NEO | SCBI_012-M-4.5-15-20180718-GA1 [ 785769 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 1 for microbial sequencing analyses | Soil Microbe,13
13932,NHB0008SF,NHB | NMNH 89197-01 (MIN) | | Mineral>Albite | Mine | Pala Chief Mine  |  Pala | Albite,5
17585,ODP0254H9,"ODP | Sample 138-845A-13H-3 (145-147 cm.) | Individual Sample | Janus sample_id: 707703 | ODP Leg 138 | platform: Ship, Joides Resolution",11
1955,NEON026OS,NEO | NOGP.20190905.R4873.H [ 400971 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Microtus pennsylvanicus (Ord_ 1815),7
18364,ODP02EAIG,"ODP | Sample 161-978A-9R-1 (18-20 cm.) | Individual Sample | Janus sample_id: 1066847 | ODP Leg 161 | platform: Ship, Joides Resolution",11
9000,IEBEG1I40,IEBEG | V08081 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-19 Ft. | Oil or gas exploration,6
15753,NHB003EP5,NHB | NMNH R8112-00 (MIN) | | Mineral>Andradite  |  Stanley Butte | Andradite,5
8950,ODP02EOOH,"ODP | Sample 161-974C-3H-2 (105-106 cm.) | Individual Sample | Janus sample_id: 1055008 | ODP Leg 161 | platform: Ship, Joides Resolution",11
8306,MGD0004M1,MGD | nbp090806701_1 | | geologicage: Not Applicable | Sea | Antarctica:DrakePassage | NBP0908 | platform: Ship_ Nathaniel B. Palmer,3
11699,ODP014A45,"ODP | Section Half 41-369A-11R-3-W | Core Section Half | DSDP Leg 41 | platform: Ship, Glomar Challenger",11
9859,ODP01SMLL,"ODP | Sample 105-646A-11H-2 (18-23 cm.) | Individual Sample | Janus sample_id: 519477 | ODP Leg 105 | platform: Ship, Joides Resolution",11
533,IEPRI0836,IEPRI | Varved sediment | Specimen | | Rock>Sedimentary>GlacialAndOrPaleosol | Blocks_ lowermost varves_ Series 1_ Sixmile Creek. |  part of the Victor E. Schmidt Collection at PRI | Creek bank | PRI Station No. 6918; Sixmile Creek | Victor E. Schmidt referred to this locality as 'high bank' | Varved sediment | Glacial history,10
13709,NHB000EM0,NHB | NMNH 103498-00 (MIN) | | Mineral>Ilmenite  |  Kola Peninsula; Afrikanda | Ilmenite,5
469,DSR000VFG,DSR | VM28-358PC_249cm | Core Piece | 10 | cc | depth 249-251 cm | Late Quaternary Palaeoceanographic reconstruction from equatorial Indian Ocean,11
18981,ODP030QZM,"ODP | Sample 204-1251B-41X-4 (76-78 cm.) | Individual Sample | Janus sample_id: 1496062 | ODP Leg 204 | platform: Ship, Joides Resolution",11
9535,NHB0006X3,NHB | NMNH 83932-00 (MIN) | | Mineral>Willemite | Mine | Parker Shaft  |  Franklin | Willemite with franklinite and zincite,5
5975,NEON02RGA,NEO | STEI_002-M-11.5-32-20160427-GEN-DNA1 [ 743778 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Soil DNA extraction sample,13
3761,GMY0000G4,GMY | SO249-2-DR108 | Dredge | dredge with semi-consolidated sediment_ biology | agenumeric: 0-150 Ma | seafloor outcrop | Beringia Margin | Rock and Sediment | SO249-2 | platform: ship_ Sonne,6
5532,NEON01DQ4,NEO | DPM.STER.20181010.1126 [ 302556 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Particulate mass filter from automated collector,9
5863,IEBEG0R56,IEBEG | R42630 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well_ API number 422010453300. | depth 6253-6744 Ft. | Oil or gas exploration,10
10132,ODP01UUS7,"ODP | Sample 112-680B-11H-1 (68-70 cm.) | Individual Sample | Janus sample_id: 155357 | ODP Leg 112 | platform: Ship, Joides Resolution",11
13556,ODP02R7TX,"ODP | Sample 182-1130A-23X-3 (140-150 cm.) | Individual Sample | Janus sample_id: 153784 | ODP Leg 182 | platform: Ship, Joides Resolution",11
5568,NEON04C5C,"NEO | SJER.20200123.R3065.H [ 842571 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner, 1845)",7
1266,GSA0000U1,GSA | 1025202100000 | Hole | converted by GSA from NAD27 to WGS84 using IHS Petra software (2012); original elevations/measurements in FEET and converted to meters | Wildcat | oil and gas exploration,14
5922,NEON04XH2,NEO | [ 867418 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Algae slide-mounted subsample for taxonomy | EPILITHON,7
15940,NHB001OXL,NHB | NMNH 166790-00 (MIN) | | Mineral>Quartz  |  Henry (Farm Near) | Quartz,5
19890,BSU0002TB,BSU | 15MC024-p<2.85 | | gabbro,10
5800,IESDW0016,IESDW | 274-05 | Core Section | 1965 C.E. ice core tephra | depth 16.325-16.415 Meters below ice surface | West Antarctic Ice Sheet Divide | rhyolite | WDC-06A,9
13715,NHB005PF2,NHB | NMNH 112507-13 (PET) | | Rock>Igneous  |  Locality Key: Hickey | Basaltic-andesite,10
3780,NEON0231W,NEO | BLAN_006-M-8-23.5-20191015-GA5 [ 408525 ] | Biology>Macrobiology | Specimen | | collection: Manual. PreservedSpecimen | Interchangeable soil subsample 5 for microbial sequencing analyses,13
12634,IEBEG11XW,R49380 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-740 Ft.,6
8574,IEBEG0N5O,IEBEG | R51329 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-2620 Ft. | Oil or gas exploration,6
9431,NHB0059YH,NHB | NMNH 108720 (PET) | | Rock>Ore | Mine | Uris Mine  |  Tsumeb (E.)_ South-West Africa_ South-West Africa | Vanadium ore,10
16700,ODP02PQ9A,"ODP | Sample 177-1090E-4H-4 (67-69 cm.) | Individual Sample | Janus sample_id: 32888 | ODP Leg 177 | platform: Ship, Joides Resolution",11
14173,ODP02BD47,"ODP | Sample 154-925C-4H-5 (35-36 cm.) | Individual Sample | 3*5cc;  Janus sample_id: 957677 | ODP Leg 154 | platform: Ship, Joides Resolution",12
13465,NHB003TV5,NHB | NMNH 29713 (PET) | Rock>Ore | Clay ore with kaolinite | | Mine | Brysons Mica Mines ,10
20019,CNRS0000002504,CNR | EDUL_DR66_4_03 | Dredge | mid-ocean ridge | South West Indian Ridge | gabbro | EDUL,10
6740,NEON05XG3,"NEO | [ 913595 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Carabid vouchers collected in a pitfall trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol. Archived in 95% ethanol and not pooled across traps. | Amara musculis (Say, 1823)",7
1566,NEON00K1S,NEO | SERC_009.20170824.IB.01 [ 242618 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
17897,NHB001XPT,NHB | NMNH B5078-00 (MIN) | | Mineral>Quartz | Val Giuf | Quartz,5
11213,NHB0067D9,NMNH 115192-59 (PET) | | Rock>Igneous | Ocean | Pacific Ocean | Glassy basalt | platform: Ship_ Kana Keoki,10
5915,ODP01L42B,"ODP | SubSection 177-1093C-10H-2-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 177 | platform: Ship, Joides Resolution",11
4514,PRR005953,PRR | PRR-05953 | | Rock>Metamorphic | Era: Paleozoic/; Period: Cambrian;  | Transantarctic Mtns._ Ross Ice Shelf edge | Zone in Cressey schist that has amphibole needles | Marble-phyliite,10
10180,NHB0084EH,NHB | NMNH 118329-685 (PET) | | Rock>Igneous | Bushveld Igneous Complex | South Tweefontein | Feldspathic pyroxenite,10
11198,ODP01VOIP,"ODP | Sample 113-690B-24H-4 (117-118 cm.) | Individual Sample | Janus sample_id: 20026369 | ODP Leg 113 | platform: Ship, Joides Resolution",11
6619,NEON01FVD,NEO | DSNY_005-M-38.5-23-20180820-BA [ 241732 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Soil subsample for archive,13
19189,NHB003EO4,NMNH R8084-00 (MIN) | | Mineral>Stannite  |  Stannite,5
1544,NEON02BV0,NEO | PLA.JERC.20190806.13:42.KVM.V747 [ 482001 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Plant vouchers for the domain reference herbaria and for the external archive | Stylosanthes biflora (L.)Britton & al.,7
14067,ODP021EMW,"ODP | Sample 126-792E-27R-2 (110-116 cm.) | Individual Sample | VOLUME CORRECT;  Janus sample_id: 407518 | ODP Leg 126 | platform: Ship, Joides Resolution",11
10890,ODP01V0Q4,"ODP | Sample 112-688E-30R-1 (72-76 cm.) | Individual Sample | Janus sample_id: 163717 | ODP Leg 112 | platform: Ship, Joides Resolution",11
2604,NEON0164R,NEO | SOAP.20190903.R1185.E [ 409525 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Ear punch sample collected from a small mammal for DNA barcoding | Peromyscus boylii (Baird_ 1855),7
11307,NHB005ZGW,NHB | NMNH 113672-23 (PET) | | Mineral>Cinnabar  |  Easter Claim | Cinnabar with stibnite and valentinite,5
17169,ODP0290DH,"ODP | Sample 149-897C-54R-1 (95-96 cm.) | Individual Sample | Janus sample_id: 866472 | ODP Leg 149 | platform: Ship, Joides Resolution",11
14727,ODP02T655,"ODP | Sample 184-1146B-26X-2 (102-104 cm.) | Individual Sample | Janus sample_id: 1378683 | ODP Leg 184 | platform: Ship, Joides Resolution",11
11665,HRV002OR4,HRV | 129835 | | Mineral>Celestite | Mineral Group: Barite;      | Hoosier Stone & Concrete Co. Quarry,5
1281,WDC0000KL,WDC | WCC13-09 | Other | 4.3MG/L AT 1M_ 4.5MG/L AT 10M DEPTH_ 4.6MG/L AT 15M. 5.8MG/L AT 15M DEPTH. | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000084 | WCC13 | platform: Ship_ Ferrel,9
16089,IEDAI00S6,IEDAI | ELA62/10 | | depth 363-371 CMBS | Paleoenvironmental reconstruction,11
18204,NHB0037WW,NHB | NMNH R1400-00 (MIN) | | Mineral>Quartz  |  Elba | Quartz,5
13844,HRV000BU3,HRV | 84709 | | Mineral>Orthoclase | Mineral Group: Feldspar;    | Val Di Cadina Fleims,5
2471,NEON012EB,NEO | UNDE.20190801.R5389.B [ 402178 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Blood sample collected from a small mammal for pathogen analyses | Napaeozapus insignis (Miller_ 1891),7
19349,ODP02WQ8D,"ODP | Sample 198-1207A-2H-4 (105-107 cm.) | Individual Sample | Janus sample_id: 1656123 | ODP Leg 198 | platform: Ship, Joides Resolution",11
15858,HRV000H60,HRV | 87194 | | Mineral>Serpentine | Mineral Group: Kaolinite-Serpentine;   ,5
12101,ODP02ORSG,"ODP | Sample 177-1094A-8H-4 (100-102 cm.) | Individual Sample | ###;  Janus sample_id: 47669 | ODP Leg 177 | platform: Ship, Joides Resolution",11
11584,NHB0067SZ,NHB | NMNH 115224-6 (PET) | | Rock>Igneous | Island | Euboea Island  |  Locality Key: Euboea I | Gabbro,10
8810,IEBEG19KH,IEBEG | R49923 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-560 Ft. | Oil or gas exploration,6
14705,NHB001WXX,NMNH B4018-00 (MIN) | | Mineral>Pyrargyrite | Hodrusa | Pyrargyrite with stephanite,5
6245,NEON00YT2,NEO | BIGC.SS.20190409.ARC [ 405614 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Sample for surface water microbe archive,7
19771,BSU00012R,BSU | AD-3-T2 | ash | Individual Sample,11
19481,IEACM0154,IEACM | WWH-348d | | dentine.  | Wetwang | Tooth,1
8525,ODP01IDO5,"ODP | Section 166-1006A-11H-4 | Core Section | ODP Leg 166 | platform: Ship, Joides Resolution",11
4126,ODP011242,ODP | Core 301-1301C-15H | Core | collection: Coring. H: The APC is a hydraullically actuated piston corer designed to recover undisturbed core samples from soft sediments.  It is designed to be delivered through the drill string to the sediment to be cored whether at the sea floor or hundreds of meters below it | IODP / DSDP,12
13810,PRR030875,PRR | PRR-30875 | Rock>Igneous | Scoria | Dredge | [2 dark brown/black vesicular clasts],10
11731,NHB001X38,NHB | NMNH B4221-00 (MIN) | Mineral>Polybasite | Polybasite with stephanite and argentite | | Gersdorf,5
3599,NEON01L6B,NEO | KONZ_043-M-38.5-24-20181009-GA5 [ 253642 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 5 for microbial sequencing analyses,13
5566,MBL00000E,MBL | MBL 01227-EA12 | | Rock>Igneous>Plutonic>Felsic | Mt. Avers_ East_ Fosdick Mountains_ Antarctica | Gneissic Kfeldspar_ granite Kfeldspar has exsolution lamelle,10
14230,NHB000NRW,NHB | NMNH 118310-00 (MIN) | | Mineral>Quartz  |  Cleator Moor | Quartz with hematite,5
6844,NEON0642X,"NEO | [ 929853 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Ear tissue punch sample from a small mammal collected as part of the NEON small mammal box trapping protocol conducted for 3 nights 4-6 times annually. Archived in liquid nitrogen. | Napaeozapus insignis (Miller, 1891)",7
4294,NEON00911,NEO | NEON.BET.D09.002883 [ 302818 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Poecilus lucublandus (Say_ 1823),7
17705,IEBAN00JP,IEBAN | 2016-07 San Salvador 79 | Liquid | | Line Hole Well Field,3
6002,IE2230048,IE223 | KN223_S03_LC1_S01_127.5 | Core Section | Sediment>Sedimentary>Carbonate | sediment | KN223 | platform: Ship_ R/V Knorr | dissolved oxygen measurement,12
19547,IEAEM00WQ,FS-130-plant-observation | | field observation,14
4093,NEON02Z3J,NEO | NEON.BET.D18.002024 [ 777672 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Pterostichus tareumiut Ball_ 1962,7
18947,ODP030NA8,"ODP | Sample 204-1246B-13H-5 (135-150 cm.) | Individual Sample | Janus sample_id: 1506233 | ODP Leg 204 | platform: Ship, Joides Resolution",11
14742,ARF000DTI,ARF | DF85 107 PC 0430-0431 cm | Core Sub-Piece | 8 | cc | depth 430-431 cm | DF85,12
12081,ODP02ONN1,"ODP | Sample 177-1093A-16H-2 (6-7 cm.) | Individual Sample | 156.26;  Janus sample_id: 86321 | ODP Leg 177 | platform: Ship, Joides Resolution",11
19282,ODP02W9J2,"ODP | Sample 194-1193B-1R-1 (27-29 cm.) | Individual Sample | Janus sample_id: 1414499 | ODP Leg 194 | platform: Ship, Joides Resolution",11
3402,ODP01FFAI,"ODP | SubSection 150-902D-14H-4-1C (0-51 cm.) | Core Sub-Piece | Core | ODP Leg 150 | platform: Ship, Joides Resolution",11
6281,NEON02RJ7,NEO | STER_006-M-30-37-20140820-GEN-DNA1 [ 743884 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Soil DNA extraction sample,13
12534,IERVTL1IC,IERVT | 749 | | depth 120-120 cm | floodplain_ aquifer | SLAC-SFA | 2018 inundation tracer tests,2
18878,HRV0026V6,HRV | 121381 | | Mineral>Anatase | Quality: display;   ,5
18916,ODP02LRYZ,"ODP | Sample 172-1060A-3H-5 (120-122 cm.) | Individual Sample | Janus sample_id: 1301449 | ODP Leg 172 | platform: Ship, Joides Resolution",11
19884,BSU00016F,BSU | GS206-118->500 | | ash bed,12
8227,IEBEG0XFG,IEBEG | V04050 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 914-1012 Ft. | Oil or gas exploration,10
12691,NHB007J94,NHB | NMNH 118016-1089 (PET) | | Rock>Igneous | Volcano | Cima Lava Field  |  Cow Cove | Basalt,10
6463,NEON01G5R,NEO | GUAN_003-M-18.5-34.5-20160928-BA [ 249104 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Soil subsample for archive,13
19335,NHB004KKB,NHB | NMNH 88056 (PET) | | Rock>Igneous  |  Granite,10
17653,NHB001JYK,NMNH 160377-00 (MIN) | | Mineral>Aktashite | Moctezuma | Aktashite,5
18519,NHB0052J8,NMNH 100214 (PET) | | Rock>Igneous | Lac Noir | Anorthosite,10
13124,IEMRS006H,IEMRS | ZAG5-D | | Biology>Macrobiology | Pit site - MIS 5e? | outcrop | Opercula | Sr test?,1
5572,PRR008671,PRR | PRR-8671 | Rock>Igneous | Gabbro Cumulate | | Typical dk_ med. grained_ poorly laminated gabbro below layer. 5 pieces (2 stained) + fragments | Henderson Bluff,10
3986,NEON01H1C,NEO | UNDE_006-M-8.5-11-20180523-GA2 [ 234119 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 2 for microbial sequencing analyses,13
5215,NEON02UYI,NEO | NEON.BET.D06.004542 [ 757683 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | POELUC (Say_ 1823),7
11277,ARF000CMO,ARF | DF81-006 PC 0003-0004 cm | Core Sub-Piece | 4 | cc | depth 3-4 cm | Amundsen Sea | Deep Freeze 1981,12
8350,ARF0006VA,ARF | LMG13-11 006 JGC_Sample | Core Half Round | 457 | cm | Antarctic Peninsula | LMG13-11 | platform: Ship_ R/V Laurence M. Gould,12
3824,NEON01EW7,NEO | HOPB.20180723.EPILITHON.5.TAXONOMY-SLIDE-A [ 474912 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Algae slide-mounted subsample for taxonomy | EPILITHON,7
14058,ODP021DYV,"ODP | Sample 126-790C-19X-4 (119-121 cm.) | Individual Sample | Janus sample_id: 399076 | ODP Leg 126 | platform: Ship, Joides Resolution",11
13903,ODP0211KC,"ODP | Sample 125-782A-8H-3 (94-95 cm.) | Individual Sample | SOUPY AND DISTURBED: 61-93 CM;  Janus sample_id: 1221000 | ODP Leg 125 | platform: Ship, Joides Resolution",12
8354,ODP02AX9J,"ODP | Sample 154-929A-33X-5 (47-48 cm.) | Individual Sample | Janus sample_id: 949997 | ODP Leg 154 | platform: Ship, Joides Resolution",11
19152,IEMTG02C0,IEMTG | UW 98/33 | | Rhyolite | Apatite Fission Track,10
19028,IEAEM00U2,IEAEM | FS-328-plant-observation | | field observation,14
157,KHR00032C,KHR | S105-rock-15 | Grab | collection: Grab>ROV. ROV manipulator | 26x22x13 | cm | Rock>Igneous>Volcanic>Felsic |  Chunk of pillow crust with perfect buffalo head hair glass rind. Area with higher sediment load in water and on pillows.  | large lava flow | Large lava Flow D | NE Lau Basin | dacite | FK171110 | platform: Ship_ R/V Falkor | launch: SuBastian_ 2 | S105 | research,10
10455,ODP01U3BU,"ODP | Sample 108-659C-4H-1 (40-41 cm.) | Individual Sample | Janus sample_id: 126827 | ODP Leg 108 | platform: Ship, Joides Resolution",11
188,IECJCH545,IECJC | JEMEZ_G873-MC_Pit2-8cm | Liquid | | collection: Wick. Custom made_ fiberglass wick-based passive capillary wick samplers (PCaps_ Perdrial et al. 2012) | 3 | mL | Soil solution | Field notes: evacuated | Resurgent dome | Valles Caldera | La Jara Creek Catchment | 2013 Burned ZOB (formerly as Mixed Conifer) Pedon 2 | Catalina-Jemez Critical Zone Observatory (CZO),3
3577,NEON01RY6,NEO | GUAN_042-M-20.5-30-20190109-GA3 [ 304275 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 3 for microbial sequencing analyses,13
2493,NEON005Q3,NEO | MOS.D05.000065; UNDE_074.20160519.1948 [ 320142 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | List of individual mosquitoes preserved as vouchers | Aedes provocans (Walker_ 1848),7
17565,HRV0023L6,HRV | 120066 | | Mineral>Cassiterite | Mineral Group: Rutile;     ,5
15053,ODP023IP8,"ODP | Sample 131-808C-35R-4 (132-150 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 178202 | ODP Leg 131 | platform: Ship, Joides Resolution",11
17729,NHB005GSX,NHB | NMNH 110981-14C5 (PET) | Individual Sample  |  Unidentified,4
16296,IEDAI007C,IEDAI | BAD6/16 | | depth 420-430 CMBS | Paleoenvironmental reconstruction,11
8860,IEBEG1866,IEBEG | V20746 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-255 Ft. | Oil or gas exploration,6
17750,ODP02AVEL,"ODP | Sample 154-929A-11H-2 (67-69 cm.) | Individual Sample | Janus sample_id: 970821 | ODP Leg 154 | platform: Ship, Joides Resolution",11
